tiempo,muestravelr_izq,velr_der,sensor_izq,sensor_frontal_izq,sensor_frontal_der,sensor_der,imu_acc_x,imu_acc_y,imu_w_x,imu_w_y,imu_m_x,imu_m_y
3404.049223,0.935600,0.307600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.073246,0.939100,0.301800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.113282,0.942500,0.295800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.145250,0.945800,0.289600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.181684,0.949000,0.283200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.241524,0.952100,0.276500,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.285562,0.955100,0.269700,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.292569,0.958000,0.262600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.333424,0.960800,0.255400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.370278,0.963600,0.248000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.422192,0.966200,0.240400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.468246,0.968700,0.232600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.481258,0.971100,0.224700,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.517848,0.973500,0.216600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.554850,0.975700,0.208400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.604181,0.977900,0.200000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.647389,0.979900,0.191400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.669322,0.981900,0.182800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.706173,0.983700,0.174000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.743275,0.985400,0.165000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.784178,0.987100,0.156000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.831220,0.988700,0.146800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.853855,0.990100,0.137600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.894856,0.991500,0.128200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.944225,0.992700,0.118700,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3404.968247,0.993900,0.109200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.006281,0.994900,0.099600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.042290,0.995900,0.089900,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.078037,0.996700,0.080200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.131086,0.997500,0.070400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.177127,0.998200,0.060500,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.193848,0.998700,0.050600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.229543,0.999200,0.040700,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.267320,0.999500,0.030800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.310586,0.999800,0.020800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.353641,0.999900,0.010800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.377547,1.000000,0.000800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.418543,1.000000,-0.009200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.470170,0.999800,-0.019200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.510206,0.999600,-0.029200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.534228,0.999200,-0.039100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.570123,0.998800,-0.049100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.611339,0.998200,-0.059000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.666122,0.997600,-0.068800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.710162,0.996900,-0.078600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.726175,0.996000,-0.088400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.762869,0.995100,-0.098100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.803871,0.994000,-0.107700,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.842241,0.992900,-0.117200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.884273,0.991700,-0.126700,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.918454,0.990300,-0.136100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3405.955450,0.988900,-0.145300,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.017529,0.987400,-0.154500,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.043553,0.985700,-0.163600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.070578,0.984000,-0.172500,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.111348,0.982200,-0.181400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.147121,0.980200,-0.190100,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.197301,0.978200,-0.198600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.240340,0.976100,-0.207000,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.262877,0.973800,-0.215300,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.303881,0.971500,-0.223400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.373177,0.969100,-0.231400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.380184,0.966600,-0.239200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.418218,0.964000,-0.246800,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.455356,0.961300,-0.254200,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.496138,0.958500,-0.261500,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.553163,0.955600,-0.268600,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3406.597191,0.952600,-0.275400,0.140000,21.000000,23.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
